gvkey,year,s_integrity,s_teamwork,s_innovation,s_respect,s_quality
002369,2010,3.417,2.5256,3.8147,1.8417,0.7647
002393,2010,0.7377,0.969,1.4849,1.2786,2.848
002403,2010,4.6289,4.5328,5.5321,4.3784,2.1291
002405,2010,3.7665,1.8731,2.4162,1.3847,0.4821
002406,2010,1.3268,1.0699,1.8238,1.8607,1.8921
002408,2010,3.1796,2.709,6.5049,3.3616,2.6452
002410,2010,4.4143,2.4166,3.6856,2.3879,2.7707
002411,2010,6.2404,2.0397,5.0145,2.5497,2.8099
002434,2010,1.3293,1.6144,6.0844,3.0971,1.9425
002435,2010,1.491,1.8804,5.5205,1.8825,1.1967
002444,2010,2.3692,0.7833,2.222,2.182,3.5741
002448,2010,1.4322,1.1355,3.3128,1.0083,1.3221
002484,2010,1.9839,0.7518,2.8735,2.3832,1.9856
002497,2010,2.8115,1.0391,2.9025,1.6469,1.9333
002504,2010,1.2103,2.0569,5.9776,2.2515,5.835
002519,2010,1.4419,0.8378,1.9769,0.9062,5.9117
002526,2010,1.9545,2.2594,2.6846,4.5471,2.5542
002536,2010,1.391,2.1963,7.2432,4.5229,1.5338
002538,2010,2.6238,2.1138,3.1638,4.4112,1.2041
002547,2010,4.1613,3.0923,4.6125,4.7848,2.1892
002555,2010,1.3476,1.2822,3.8825,4.0405,3.7198
002558,2010,3.5898,1.5185,2.3282,4.5292,1.7999
002573,2010,4.306,3.497,2.0845,0.2671,0.8083
002574,2010,2.3196,1.4685,2.295,2.4048,4.6198
002577,2010,1.9567,2.5665,3.1922,0.9577,4.2231
002589,2010,0.9195,4.9848,4.5071,7.9382,5.0013
002593,2010,1.5454,1.8788,2.9475,1.3787,2.1548
002595,2010,1.6467,1.37,8.5246,4.6521,2.7437
002615,2010,1.6528,5.4308,5.4839,1.073,3.7402
002628,2010,2.8978,2.1998,2.3095,1.873,0.8261
002631,2010,0.9307,1.0579,3.1745,4.7776,1.2134
002663,2010,4.0991,1.4343,7.6855,1.7458,1.3637
002675,2010,2.0961,1.3633,4.909,2.2989,1.9186
002696,2010,1.6934,1.6655,3.6701,2.7794,4.93
002697,2010,1.8627,2.6942,4.2415,1.6411,2.727
002698,2010,2.2545,2.4532,3.2523,2.4876,4.4343
002703,2010,1.253,0.8608,4.5364,2.0518,2.2619
002710,2010,2.3515,1.189,2.4831,0.9368,0.5644
002721,2010,3.309,5.9854,3.4781,0.2297,1.1161
002751,2010,1.7237,2.1325,4.522,2.8498,1.8722
002771,2010,1.4573,0.832,1.3129,1.5992,2.0414
002772,2010,2.0016,0.8197,1.9623,1.1471,0.7178
002783,2010,3.895,1.5798,2.4811,2.6791,0.8186
002787,2010,1.3291,1.4428,3.17,1.6131,3.5944
002802,2010,1.3002,1.1106,1.8153,0.7656,2.4007
002807,2010,0.8386,0.8543,4.1101,1.9399,1.8355
002811,2010,0.781,0.9973,1.3032,1.1688,1.1265
002812,2010,1.1651,0.6408,2.1871,0.8101,0.4867
002817,2010,1.518,0.924,2.5875,1.4049,7.8651
002820,2010,2.2769,2.6156,1.7695,3.5231,2.6567
002856,2010,2.1192,3.5022,1.3182,2.6063,1.7923
002859,2010,3.5877,1.3608,4.3103,0.8571,2.0202
002884,2010,2.1187,3.3199,3.5251,1.6676,2.7713
002888,2010,1.5339,2.3582,3.0102,3.2035,3.3643
002928,2010,2.3394,3.4996,1.6027,1.4917,0.8875
002938,2010,2.3105,0.9204,7.3202,1.9949,1.9826
002940,2010,5.3485,4.3557,2.6942,5.5852,0.7016
002942,2010,0.8275,1.901,4.3501,3.5388,2.1964
002953,2010,1.134,3.5801,6.6341,2.6313,2.624
002960,2010,3.8552,1.8233,2.6352,5.2037,1.8416
002968,2010,3.3126,0.8905,1.528,1.709,0.8128
002986,2010,1.1438,4.2152,6.9345,4.4499,1.5529
002990,2010,4.9601,10.2002,4.5732,3.4708,1.3301
002991,2010,3.9297,3.2461,3.2698,2.5033,2.3403
003005,2010,1.4447,1.199,7.1554,2.5154,1.7881
003011,2010,1.4035,2.933,7.0742,5.261,4.9368
003024,2010,4.9943,1.4872,1.9039,2.8937,0.9957
003026,2010,1.6371,0.5379,3.858,1.3694,1.7378
003028,2010,2.1617,2.2381,3.0392,4.2766,0.9733
003036,2010,1.4291,1.2305,5.0901,3.9239,3.9931
003062,2010,1.5492,0.9774,2.3526,2.7885,1.8197
003082,2010,2.0869,1.4138,1.7923,3.1504,0.6115
003087,2010,1.7368,1.8359,6.4393,2.0172,2.585
003093,2010,1.2827,0.383,1.3579,1.8197,2.1612
003121,2010,1.3897,0.9342,4.863,0.8237,0.6709
003124,2010,3.9838,3.5866,2.0678,4.9597,1.2719
003144,2010,1.974,2.5765,4.0718,1.1236,1.3846
003153,2010,1.6199,1.7317,2.5539,1.01,1.8207
003157,2010,1.4735,2.2828,5.3624,2.1951,3.5383
003158,2010,2.1918,1.3296,1.1637,0.27,6.4668
003170,2010,2.2455,1.7866,3.8745,0.9607,0.4216
003218,2010,4.1131,3.769,7.7206,3.6969,2.3218
003221,2010,3.599,2.0473,7.3083,5.8238,0.8895
003226,2010,2.1986,2.9185,9.824,2.1576,3.0217
003231,2010,2.1003,0.8504,1.3652,2.1822,0.8635
003243,2010,2.1875,1.9508,2.1827,2.3893,0.6253
003246,2010,2.5178,1.1436,1.4415,1.4299,2.8044
003278,2010,1.8697,1.1936,2.0379,1.4535,1.3009
003310,2010,1.6101,2.6591,8.5545,3.2237,4.8737
003336,2010,2.6972,1.8924,2.7627,1.5356,1.5609
003342,2010,1.9447,3.1111,3.0569,9.5598,1.6034
003358,2010,1.2233,2.0318,1.8185,1.2032,3.0908
003362,2010,1.465,0.9292,6.6991,1.2873,1.4341
003416,2010,1.5854,1.2805,1.9712,1.37,3.918
003439,2010,4.1741,2.7121,1.9116,3.0326,1.387
003469,2010,1.0205,0.4826,2.4973,0.8128,1.5046
003497,2010,1.4985,1.6748,3.6914,1.8708,1.2847
003502,2010,0.8031,0.4668,1.2937,0.5719,3.646
003504,2010,1.6088,1.2512,1.7722,1.2297,0.7112
003505,2010,2.214,1.0791,5.0449,0.6857,1.0738
003525,2010,1.5497,1.361,5.1313,3.0552,1.6937
003532,2010,2.0441,1.489,3.3181,1.6759,2.1329
003556,2010,2.0655,5.2565,9.9776,6.624,1.9493
003562,2010,1.4092,2.0058,2.4587,2.438,0.6612
003570,2010,1.0181,0.2967,3.6878,2.5842,1.9977
003580,2010,2.4813,1.8419,3.6326,1.3345,1.7844
003581,2010,3.1526,1.9099,2.5869,2.2598,2.8321
003619,2010,2.3553,1.1695,2.1651,1.7742,2.2804
003622,2010,1.3862,1.6682,2.6713,3.3496,1.1935
003643,2010,2.2985,0.989,3.1563,1.8067,1.442
003647,2010,0.5996,0.6075,3.6712,1.2305,2.3878
003650,2010,1.9674,2.2174,2.5695,0.8106,7.402
003662,2010,0.9597,0.9578,1.8977,0.8293,2.0959
003707,2010,2.6548,1.8604,2.0552,2.363,1.6378
003708,2010,2.093,1.9648,7.2721,3.6155,1.4749
003734,2010,1.9674,0.9848,2.3377,0.9,2.1888
003735,2010,2.0647,1.4768,4.1017,1.7391,1.0541
003761,2010,2.3472,1.7491,8.6656,3.3764,5.0408
003806,2010,1.3431,0.5081,4.0245,1.5276,5.8644
003813,2010,2.1548,0.8897,6.7264,3.8823,1.2941
003814,2010,1.01,2.0537,2.3533,1.9787,1.455
003820,2010,1.4469,3.0386,4.9577,0.6548,2.5255
003835,2010,1.9614,0.8317,1.9782,1.0701,2.5836
003851,2010,3.0586,3.0175,2.6323,1.722,2.887
003863,2010,2.4253,2.2065,7.1016,3.7955,1.3414
003874,2010,0.4154,1.4146,2.0204,1.6099,0.8
003897,2010,1.9324,1.6546,1.7139,1.159,2.0384
003905,2010,5.0293,2.599,6.0255,10.105,2.5109
003946,2010,1.4314,2.774,6.1734,3.2499,2.7682
003962,2010,1.0235,0.8143,2.2582,0.8213,4.9906
003969,2010,1.0175,0.7303,2.8931,0.2606,3.2676
003971,2010,4.1403,1.5108,2.4166,1.3321,1.2079
003980,2010,2.0277,2.879,10.2882,2.7535,1.7461
004001,2010,0.5884,0.1686,1.8423,1.223,1.7794
004016,2010,1.3979,1.5739,5.6646,2.0549,3.4543
004029,2010,3.1011,1.0976,2.0361,1.4941,1.1864
004036,2010,0.7946,1.0944,3.0534,1.0001,2.6524
004040,2010,2.461,2.4229,7.4124,3.293,2.2735
004058,2010,1.061,1.0112,2.2045,1.2539,1.4695
004060,2010,2.473,1.4334,4.9658,1.1741,1.8352
004066,2010,2.4544,2.362,3.3484,1.9677,1.1067
004072,2010,1.2654,1.2252,3.9926,1.2409,1.1698
004077,2010,5.8011,6.0173,2.569,7.0313,1.4864
004087,2010,1.3772,1.4678,4.6429,1.1189,1.4151
004091,2010,1.3944,1.0424,3.046,0.5043,1.9233
004093,2010,3.124,3.1412,3.4417,1.9497,2.6431
004094,2010,2.3888,1.8729,7.5644,3.2459,2.4826
004108,2010,1.6323,1.6997,3.2484,1.9534,2.5116
004115,2010,1.0475,3.0219,2.2673,1.5784,2.8394
004124,2010,5.7441,6.4185,3.7322,5.3141,1.5296
004127,2010,3.6605,2.018,2.3371,2.838,1.0589
004128,2010,3.5181,1.4234,5.2562,2.7672,2.0881
004145,2010,2.595,0.7719,2.7348,1.1146,1.2175
004156,2010,3.5791,1.1288,1.4142,3.6858,7.5621
004193,2010,1.2836,1.019,2.6797,1.7555,1.8043
004194,2010,1.3333,1.5,7.8814,1.8347,1.4606
004199,2010,0.9817,0.936,1.5514,0.9125,2.2372
004201,2010,2.501,2.7948,5.0954,3.9721,1.0014
004213,2010,1.4752,1.1312,4.3848,1.8098,1.2482
004241,2010,2.0883,1.6521,1.1154,2.2132,1.5581
004242,2010,1.5825,0.9168,2.4801,0.9484,0.8678
004245,2010,3.4394,4.0499,1.9337,2.6416,0.6001
004274,2010,0.8687,2.3149,5.1312,0.795,4.8445
004321,2010,1.511,0.8028,3.0963,1.5112,0.9894
004331,2010,1.379,0.9118,1.7222,0.9751,1.7196
004340,2010,0.9623,1.7944,3.9176,0.8479,4.0119
004351,2010,0.7266,1.0228,1.2599,0.7169,0.7299
004352,2010,1.4584,1.9958,5.567,1.3574,3.4779
004367,2010,3.7073,1.6323,4.3841,2.1754,2.3814
004383,2010,1.4824,2.0755,2.0151,1.2246,2.1641
004409,2010,3.924,4.1418,4.1831,4.2449,1.2407
004418,2010,3.9022,6.7818,6.2356,6.1314,2.2127
004423,2010,2.1316,1.1689,6.3903,3.1633,1.0323
004430,2010,2.7057,1.4671,3.8819,1.1242,1.7712
004460,2010,1.9326,1.4445,3.4575,0.6596,1.727
004462,2010,0.694,0.4496,0.8297,1.0951,1.1396
004476,2010,1.5946,3.2468,4.2247,1.6753,1.4141
004497,2010,1.5765,1.3294,2.8427,1.8892,2.4145
004498,2010,1.4731,0.8914,1.8439,1.3002,1.4301
004503,2010,1.8931,1.7593,3.4165,1.2109,1.1615
004510,2010,2.1258,2.0744,5.4914,1.4481,2.1779
004517,2010,2.8874,1.0215,1.2234,1.1783,1.0523
004523,2010,0.9705,1.4706,5.7572,1.6303,2.3628
004560,2010,1.6355,1.7323,6.3013,2.3827,2.3463
004598,2010,2.5499,1.4589,4.9439,3.7293,5.459
004599,2010,1.2254,0.7169,1.1479,0.7125,3.2762
004605,2010,2.5261,1.2401,2.5687,3.1539,0.7225
004608,2010,2.0299,2.173,3.7176,1.7885,1.388
004611,2010,2.0413,2.6645,4.7894,2.7945,1.339
004622,2010,1.8611,0.7953,4.3743,1.0206,1.9136
004640,2010,2.4014,1.3355,1.9438,1.3042,1.1698
004645,2010,1.455,0.9523,6.4915,2.0228,0.7839
004666,2010,4.3541,3.6018,6.3588,1.2419,0.3648
004669,2010,1.21,1.4501,2.3554,2.1073,4.745
004674,2010,2.0551,1.0548,1.6469,1.5227,0.6965
004678,2010,1.356,1.6306,1.5454,3.113,1.1417
004679,2010,3.7793,3.1266,3.4224,3.4298,0.7611
004685,2010,3.7197,1.8036,2.1904,4.0671,0.8252
004699,2010,1.459,1.3262,1.0526,1.5869,0.7812
004723,2010,3.9165,1.3392,2.5317,2.8053,1.057
004737,2010,2.7297,1.2909,1.2298,1.4849,0.6564
004740,2010,4.9368,1.434,1.7927,5.0906,1.2222
004763,2010,3.1548,0.8891,0.3894,1.2088,4.1104
004771,2010,1.4939,0.9364,0,2.7674,0.5132
004807,2010,0.3638,0.9548,3.2928,0.5427,2.1177
004809,2010,1.3674,0.8637,2.832,1.8051,1.1266
004818,2010,2.6805,1.7521,2.9723,2.6448,1.5039
004839,2010,1.6824,1.0133,3.7031,1.807,2.6724
004842,2010,2.5735,1.7752,2.8086,2.9902,0.8286
004844,2010,1.6952,1.3106,2.3648,0.4077,1.2782
004860,2010,1.6262,2.1856,1.5895,2.2475,3.1173
004864,2010,2.037,1.9401,2.9075,2.2168,1.0965
004881,2010,1.05,0.7931,2.2335,0.8747,2.3676
004885,2010,2.7953,3.1964,1.7134,3.4886,0.5776
004900,2010,3.7721,2.3913,4.935,3.5817,3.3778
004922,2010,2.5376,2.9006,3.8589,2.1091,2.8722
004926,2010,2.0993,1.6527,3.3067,2.1283,2.0995
004936,2010,3.9901,1.0238,4.7616,2.9928,4.3477
004941,2010,0.9279,1.7972,1.5054,0.859,2.4194
004973,2010,2.5335,1.4275,2.8078,3.5341,1.8054
004990,2010,3.4946,2.1547,8.6942,3.3953,2.3887
004995,2010,2.1329,1.3559,6.1337,2.5207,3.3159
005046,2010,2.394,0.6177,3.2012,1.5883,2.0747
005047,2010,1.3147,1.3516,2.5126,1.0466,1.3871
005054,2010,2.9324,1.8414,4.3203,5.332,1.8505
005071,2010,1.3676,0.8436,3.8314,1.0401,0.7668
005072,2010,5.7259,5.3335,2.3447,4.8457,2.415
005073,2010,0.8379,0.3919,0.9375,1.0822,1.2675
005087,2010,1.2596,1.66,2.4933,1.178,1.4126
005109,2010,1.3396,1.2417,4.1695,2.4588,1.5189
005116,2010,1.5374,1.3174,3.5525,1.9454,1.9654
005125,2010,1.5087,0.9675,1.3929,1.4875,1.3226
005142,2010,1.0449,0.8069,3.5829,1.1603,2.7628
005149,2010,8.0545,4.4802,0.3255,2.7087,0.6186
005150,2010,2.8429,0.8127,1.8552,1.5436,2.0029
005165,2010,1.5965,3.9241,4.1581,2.044,6.739
005179,2010,1.6265,3.0574,5.3033,1.6097,2.1981
005180,2010,4.9411,2.7119,6.8816,2.294,1.3046
005205,2010,11.5091,7.7383,4.1003,3.6799,1.5424
005229,2010,0.7695,0.5551,2.0609,1.2255,2.4512
005234,2010,0.9639,1.0745,2.0848,0.8069,2.4412
005250,2010,1.7115,1.6002,2.4249,0.6156,1.7595
005252,2010,0.9322,1.2093,2.1133,2.4811,2.8583
005254,2010,2.3949,3.4548,3.3992,3.5006,3.9925
005284,2010,1.5453,2.4574,2.7223,4.3867,0.7895
005301,2010,2.6078,2.2437,6.5036,3.0553,2.2131
005338,2010,1.3867,1.185,3.3877,1.6765,1.9034
005342,2010,2.2175,2.9912,4.123,2.1132,1.3966
005379,2010,2.553,0.9293,1.6013,1.2309,2.4702
005439,2010,2.3618,1.4245,2.4369,0.6935,2.856
005492,2010,2.0055,1.826,3.9599,1.3276,2.318
005496,2010,2.0926,1.1568,3.1088,1.7932,1.2221
005518,2010,1.4847,1.8125,8.1537,2.2845,1.025
005520,2010,2.8148,1.1295,5.1135,1.9451,5.0617
005523,2010,2.0651,1.0947,1.3939,2.2341,2.5023
005526,2010,1.6521,1.1467,2.5161,1.7419,0.4863
005539,2010,4.7261,2.3769,2.7507,7.5917,3.3214
005543,2010,2.4026,4.2364,3.4901,3.155,2.0874
005559,2010,1.9518,2.3429,1.4578,4.0501,1.4063
005560,2010,1.4766,0.8699,2.0428,1.6269,1.0111
005567,2010,1.9888,0.7304,2.261,1.5512,2.5097
005572,2010,1.8543,1.0216,2.0871,1.7338,1.0783
005581,2010,1.8109,1.6858,2.9776,1.9455,2.9267
005594,2010,3.77,2.0362,1.2974,1.5557,2.0838
005597,2010,1.4754,1.61,7.0385,1.2006,1.1187
005600,2010,2.6593,1.4189,2.6201,1.9319,1.8716
005608,2010,1.6647,0.7641,2.2308,1.3779,2.6579
005639,2010,2.0059,1.3092,4.1287,2.0494,2.0246
005650,2010,2.4881,5.1723,3.9533,2.1695,1.3674
005667,2010,1.4269,2.7449,1.4893,0.9632,3.0709
005680,2010,1.8102,0.9003,5.0619,1.9753,5.2057
005690,2010,2.2647,0.5312,2.1221,1.8605,1.755
005693,2010,2.0372,1.0858,3.8668,1.0014,0.9065
005697,2010,5.6588,1.9573,4.8152,3.8295,2.1351
005709,2010,1.2908,0.9465,3.5747,1.3345,2.9829
005723,2010,1.6371,1.4692,3.185,4.0033,0.7106
005742,2010,0.9528,1.2131,2.0128,1.003,1.8288
005750,2010,1.8778,2.1417,1.4823,4.0748,0.9573
005764,2010,1.7376,0.7244,2.4841,0.6109,2.0054
005786,2010,1.9693,1.4279,1.7884,1.2836,0.9161
005791,2010,2.6357,1.2456,2.8795,1.0074,2.7992
005862,2010,1.6162,1.3178,1.5269,0.9455,1.6544
005870,2010,2.0274,1.5296,1.9169,0.6598,0.9176
005878,2010,0.3919,0.4146,0.8077,0.7056,0.752
005918,2010,1.8302,1.6085,0.7829,1.523,1.009
005959,2010,2.1076,1.2081,3.8859,1.4814,2.1787
005968,2010,4.0806,1.7276,2.5926,2.8012,2.2874
005978,2010,1.7115,2.3145,2.9287,1.971,2.7175
005987,2010,1.4341,1.7621,4.3,1.196,2.1316
006003,2010,0.9621,1.3402,4.2617,0.5002,1.5605
006008,2010,0.8536,0.8608,4.3522,0.6945,3.6996
006013,2010,9.0104,1.0417,1.0916,1.2894,0.4915
006025,2010,2.2889,0.5169,3.6142,1.5014,4.519
006034,2010,1.3212,1.6244,2.328,3.0019,1.8804
006066,2010,2.2956,1.4263,8.1688,0.7213,0.7644
006078,2010,2.8244,2.4279,7.1082,2.3291,2.557
006081,2010,1.685,1.3743,2.125,0.9046,5.907
006097,2010,2.2644,1.8063,5.764,3.1392,3.0425
006100,2010,2.2342,5.1089,4.5557,2.3012,2.6719
006104,2010,1.2011,0.668,2.3498,0.957,1.7327
006109,2010,1.5294,0.7259,4.4593,0.9551,2.9657
006110,2010,2.172,4.4175,2.1848,2.935,2.9109
006115,2010,1.8363,3.1625,0.9489,1.6122,1.7095
006116,2010,3.697,3.377,4.0334,1.5255,1.4871
006130,2010,2.435,1.4762,6.2431,2.117,4.8731
006135,2010,1.9976,4.0406,2.5516,1.6804,3.259
006136,2010,1.8242,3.6064,6.4721,3.248,1.5712
006158,2010,2.8592,0.9443,2.5567,4.3258,1.158
006185,2010,4.7354,5.5124,3.3549,2.6129,3.5478
006196,2010,1.465,1.3188,1.5697,1.1851,2.3095
006203,2010,2.3516,2.3945,2.1275,4.6661,1.6719
006216,2010,1.8803,1.0916,1.6359,2.6185,1.2708
006223,2010,3.2894,1.6545,5.5188,4.511,2.5424
006239,2010,3.1028,2.5293,4.1134,5.1844,1.3065
006242,2010,2.0518,1.4706,3.9482,3.7904,2.0474
006266,2010,2.4174,2.7015,3.3618,1.4567,1.6177
006268,2010,1.2695,1.8833,3.3677,1.5394,1.264
006304,2010,1.1247,1.0224,3.7619,1.1096,1.6945
006326,2010,1.6048,1.9763,2.3339,1.2794,2.8501
006331,2010,2.5536,1.9691,1.7515,3.0331,2.2986
006334,2010,1.259,1.2393,1.7455,0.3959,1.8702
006335,2010,1.1566,0.6313,1.611,2.0386,4.9043
006338,2010,2.8266,1.2733,1.3549,0.8869,1.4305
006346,2010,1.1032,1.4356,4.5054,2.4137,1.5432
006357,2010,2.291,1.4845,1.6243,1.5885,2.6855
006375,2010,1.7004,1.1514,4.0848,0.7035,1.3629
006379,2010,2.0591,2.3835,3.6233,6.1085,1.8964
006386,2010,1.4213,0.934,2.4143,0.7945,2.0092
006416,2010,3.5916,0.7887,2.3629,3.9528,5.0746
006433,2010,0.7764,1.1143,5.8211,1.9249,4.5253
006435,2010,1.1885,1.4342,4.1722,1.5799,0.9935
006461,2010,2.0927,0.6501,1.3943,1.8978,1.8659
006502,2010,1.9974,1.0548,3.8464,2.4344,1.0824
006509,2010,2.5048,1.5024,3.43,1.7994,3.0344
006527,2010,2.641,2.2559,8.5332,3.7974,4.3054
006528,2010,1.7523,1.1625,1.7824,1.2804,2.9779
006529,2010,0.3509,1.612,3.5106,0.5039,3.5692
006532,2010,1.0755,1.1568,3.439,1.2398,2.7237
006543,2010,1.8525,0.7295,2.4358,1.6987,2.5919
006547,2010,2.7837,0.6461,6.2435,2.0764,6.0108
006565,2010,0.8408,0.843,3.6827,0.6946,3.5874
006573,2010,0.9156,0.6921,1.4382,0.6793,1.1823
